Document Title	Abstract
Industrial Privacy in RFID-based Batch Recalls	Batch recalls are an important topic for manufacturers and producers. Especially in the food and in the pharmaceutical industry, producers are obliged to implement recalls in order to comply with legislation. In extreme cases, non-compliance can cause loss of life, e.g. when perished food or medicine reaches the consumer. Current batch recall practice is expensive and difficult, since many supply chain partners need to combine the data from their ERP systems. Radio frequency identification (RFID) can be used to efficiently implement batch recalls, e.g. by storing batch numbers from the parts/ingredients used in all manufacturing steps. But this raises concerns on industrial privacy, since competitors could use this information to gain insight into the whole supply chain. We overcome this problem by storing tracing information on RFID tags and encrypting the information, such that it is only available in case of a recall. We encrypt the information using identity based encryption and furthermore allow universal re-encryption along the supply chain to prevent information leakages from the ciphertexts.
Automated Privacy Audits Based on Pruning of Log Data	This paper presents a novel approach to automated audits based on the pruning of log data represented as trees. Events, recorded as a sequential list of entries, are interpreted as nodes of a tree. The audit consists in removing the nodes that are compliant with the policy, so that the remaining tree consists only of the violations of the policy. Besides presenting the method, this paper demonstrates that the resultant method is more efficient than usual audit approaches by analyzing its theoretical complexity and the runtime figures obtained by a proof of concept.
Scalable, accountable privacy management for large organizations	Accountability is emerging as an important theme within the regulatory privacy community. For global corporations, demonstrating accountability is no easy task due to the potentially large number of projects that have privacy sensitive aspects, privacy oversight being a mostly manual process and privacy staff typically being small. So how can a company present proof points that its projects comply with its privacy promises and obligations? In this paper we address this problem by introducing a technology based solution for scalable, accountable privacy management across an organization. We present an Accountability Model Tool (AMT) that addresses the problem of capturing data about business processes in order to determine their privacy compliance. AMT utilizes an intelligent questionnaire with good completeness properties and is based on an augmented rule engine.
Editorial to the second workshop on Security and Privacy in Enterprise Computing (InSPEC09)	The goal of the International Workshop Series on Security and Privacy in Enterprise Computing (InSPEC) is to provide a forum for the discussion of novel research directions and challenges in security and privacy in enterprise computing among the experts from academia and industry. The following introduces the second edition of the workshop in conjunction with the 13th IEEE International EDOC Conference in Auckland, New Zealand.
Building a Privacy-Preserving Benchmarking Enterprise System	Benchmarking is the process of comparing one's own performance to the statistics of a group of competitors, named peer group. It is a common and important process in the business world for many important business metrics, called key performance indicators (KPI). Privacy is of the utmost importance, since these KPIs allow the inference of sensitive information. Therefore several secure multiparty computation (SMC) protocols for securely and privately computing statistics of KPIs have recently been developed. These protocols are the basic building block for a privacy-preserving benchmarking system, but in order to complete an enterprise system that offers a benchmarking service to its customers more problems need to be solved. This paper addresses two remaining problems: peer group formation and protocol orchestration. We first analyze how peer group participation impacts privacy and vice-versa. Given current network performance limitations we conclude that in order for KPIs to remain private one subscriber can participate in at most one peer group. Peer group formation is the process of forming sensible peer groups out of the set of subscribers. A sensible peer group is one that is useful for benchmarking, i.e. a group of similar companies, under the constraint that one subscriber can participate in at most one peer group. We characterize subscribers by a set of discrete criteria and therefore view the automatic peer group formation as a data clustering problem. A data clustering algorithm customized for automatic peer group formation is required to build clusters whose size does not fall below a minimum threshold. We present a high-performance modification of k-means clustering that takes the minimum cluster size as an additional parameter which might be of independent interest. In a simulation we evaluate its practical applicability to automatic peer group formation. Our final approach is the first automatic peer group formation algorithm for an enterprise benchma- rking system. Polling-based protocol orchestration allows the subscribers to remain passive clients, i.e. require no inbound connection, e.g. through a company firewall. We show through simulation that such a polling-based orchestration can be expected to complete within one polling interval.
Protecting the Privacy Based on Reasoning in E-business Using Anonymous	Nowadays, the E-Commerce plays a very important role in peoples' life; many people like to shop on Internet. At the same time, people left so much information in Internet, which include the privacy information. Malicious users in Internet can get users' privacy information with directly or indirectly way. Traditional way is to protect the directly privacy. In this paper, we proposed a schema to prevent malicious users reasoning privacy information with the information which considered as security information on Internet. In this schema, the single information set and multiple information sets are taken into count, based on the relations of the information, some information will be hidden, which can protect the privacy information. This schema will loss some information, but the privacy will protected.
Encryption, Law Enforcement, and Privacy	This chapter contains sections titled: <br> Introduction <br> Rise and Fall of the Data Encryption Standard <br> Evolution of Wiretaps and the ├é┬┐Right to Privacy├é┬┐ <br> Development of Public Key Encryption <br> Government Policy Toward Encryption <br> Current Social Conflicts and Ethical Issues <br> Case Study This chapter contains sections titled: <br> Worksheet├é┬á-├é┬áReview of Encryption Concepts <br> Worksheet├é┬á-├é┬áLegal Challenges to Encryption Export Regulations <br> Worksheet├é┬á-├é┬áThe Importance of Not Being Different <br> Worksheet├é┬á-├é┬áIs Staying With the Herd Really Best? <br> Additional Assignments <br> References <br> Cryptography: The Importance of Not Being Different <br> Cryptography: Is Staying with the Herd Really Best?
Privacy and usability in SMS-based G2B/B2G m-Government: STK and SMS: Balancing privacy and usability	The provision of sensitive information over SMS has been held back due to the inherent privacy problems of SMS. Sending messages as plain-text carries multiple risks. SMS encryption is one solution to this problem. However software written for specific devices might affect the User Experience (UX) while impacting existing investments. Also, using the phone's memory as a data store provides no guarantees against intrusion attacks. A standards-based STK (SIM Toolkit) application has been adopted in order to strike a balance between usability and mobility. An 8-bit microcontroller was used as the main platform for this security application, implementing Twofish symmetric encryption to enhance privacy and confidentiality. Creating synergy between Security and Usability is a challenge, and this paper discusses the role of STK and SMS in G2B m-Government.
A Proxy for Privacy: the Discreet Box	The issue of user privacy is constantly brought to the spotlight since an ever increasing number of online services collects and processes personal information from users, in the context of personalized service provision. Although technology makes the collection of data easy, their protection against abuse is left to data protection legislation. However, the privacy requirements, other than being general and abstract terms to be regarded as legislature issues, should be brought down in the technological reality and carefully accounted for in devising technical solutions. In order to limit the disclosure and avoid the misuse of personal data, this paper discusses an architectural proposal for a middleware system that will enforce protection of user privacy through technical means. This goal is facilitated by a combination of a policy framework, a sensible interpretation of regulations into policies and the introduction of a privacy broker, named the discreet box.
Legal and Privacy Issues: 19992004	This chapter provides a full examination of the unique legal and privacy issues that MVEDRs have raised. The issues are discussed from a number of important reports including: 1. Office of Technology Assessment (OTA), 2. Intelligent Transportations Systems (ITS) conference, 3. NHTSA EDR Working Group, 4. Privacy Act of 1974, 5. Court decisions, 6. A National Academy of Sciences (NAS) study, 6. Privacy Issues, 7. Voluntary consensus standards vs. federal rulemaking, 8. California Privacy Law, 9. U.S. 9th Circuit case, 10. Canadian case law, 11. Public perspectives on privacy issues, 11. MVEDR case law, 12. Safety Culture, and 13. Pennsylvania EDR legislation.
Hardware acceleration and data-utility improvement for low-latency privacy preserving mechanism	With the recent growth in the quantity and value of data, data holders have come to realize the importance of being able to utilize information that is otherwise abandoned or concealed. In this situation, they face the difficulty of publishing data without revealing private information. One of the methods used to protect private information when publishing data is privacy-preserving method based on constraints known as k-anonymity and l-diversity. In this paper, we propose a hardware architecture composed of Ternary Content Addressable Memory (TCAM) and a cache mechanism to efficiently reduce the time required for executing the methods. An evaluation proves that an implementation of the proposed architecture on a reconfigurable device performs approximately 10-50 times faster than a RAM-based architecture and up to 60% of the information loss can be eliminated by using the cache mechanism.
Boosting and Differential Privacy	Boosting is a general method for improving the accuracy of learning algorithms. We use boosting to construct improved privacy-pre serving synopses of an input database. These are data structures that yield, for a given set Q of queries over an input database, reasonably accurate estimates of the responses to every query in Q, even when the number of queries is much larger than the number of rows in the database. Given a base synopsis generator that takes a distribution on Q and produces a "weak" synopsis that yields "good" answers for a majority of the weight in Q, our Boosting for Queries algorithm obtains a synopsis that is good for all of Q. We ensure privacy for the rows of the database, but the boosting is performed on the queries. We also provide the first synopsis generators for arbitrary sets of arbitrary low-sensitivity queries, i.e., queries whose answers do not vary much under the addition or deletion of a single row. In the execution of our algorithm certain tasks, each incurring some privacy loss, are performed many times. To analyze the cumulative privacy loss, we obtain an O(╬╡<sup>2</sup>) bound on the expected privacy loss from a single e-differentially private mechanism. Combining this with evolution of confidence arguments from the literature, we get stronger bounds on the expected cumulative privacy loss due to multiple mechanisms, each of which provides e-differential privacy or one of its relaxations, and each of which operates on (potentially) different, adaptively chosen, databases.
A Multiplicative Weights Mechanism for Privacy-Preserving Data Analysis	We consider statistical data analysis in the interactive setting. In this setting a trusted curator maintains a database of sensitive information about individual participants, and releases privacy-preserving answers to queries as they arrive. Our primary contribution is a new differentially private multiplicative weights mechanism for answering a large number of interactive counting (or linear) queries that arrive online and may be adaptively chosen. This is the first mechanism with worst-case accuracy guarantees that can answer large numbers of interactive queries and is efficient (in terms of the runtime's dependence on the data universe size). The error is asymptotically optimal in its dependence on the number of participants, and depends only logarithmically on the number of queries being answered. The running time is nearly linear in the size of the data universe. As a further contribution, when we relax the utility requirement and require accuracy only for databases drawn from a rich class of databases, we obtain exponential improvements in running time. Even in this relaxed setting we continue to guarantee privacy for any input database. Only the utility requirement is relaxed. Specifically, we show that when the input database is drawn from a smooth distribution - a distribution that does not place too much weight on any single data item - accuracy remains as above, and the running time becomes poly-logarithmic in the data universe size. The main technical contributions are the application of multiplicative weights techniques to the differential privacy setting, a new privacy analysis for the interactive setting, and a technique for reducing data dimensionality for databases drawn from smooth distributions.
The Limits of Two-Party Differential Privacy	We study differential privacy in a distributed setting where two parties would like to perform analysis of their joint data while preserving privacy for both datasets. Our results imply almost tight lower bounds on the accuracy of such data analyses, both for specific natural functions (such as Hamming distance) and in general. Our bounds expose a sharp contrast between the two-party setting and the simpler client-server setting (where privacy guarantees are one-sided). In addition, those bounds demonstrate a dramatic gap between the accuracy that can be obtained by differentially private data analysis versus the accuracy obtainable when privacy is relaxed to a computational variant of differential privacy. The first proof technique we develop demonstrates a connection between differential privacy and deterministic extraction from Santha-Vazirani sources. A second connection we expose indicates that the ability to approximate a function by a low-error differentially private protocol is strongly related to the ability to approximate it by a low communication protocol. (The connection goes in both directions).
The Promise of Differential Privacy: A Tutorial on Algorithmic Techniques	Differential privacy describes a promise, made by a data curator to a data subject: you will not be affected, adversely or otherwise, by allowing your data to be used in any study, no matter what other studies, data sets, or information from other sources is available. At their best, differentially private database mechanisms can make confidential data widely available for accurate data analysis, without resorting to data clean rooms, institutional review boards, data usage agreements, restricted views, or data protection plans. To enjoy the fruits of the research described in this tutorial, the data analyst must accept that raw data can never be accessed directly and that eventually data utility is consumed: overly accurate answers to too many questions will destroy privacy. The goal of algorithmic research on differential privacy is to postpone this inevitability as long as possible.
Privacy Amplification and Non-malleable Extractors via Character Sums	In studying how to communicate over a public channel with an active adversary, Dodis and Wichs introduced the notion of a non-malleable extractor. A non-malleable extractor dramatically strengthens the notion of a strong ex- tractor. A strong extractor takes two inputs, a weakly-random x and a uniformly random seed y, and outputs a string which appears uniform, even given y. For a non-malleable extractor nmExt, the output nmExt(x,y) should appear uniform given y as well as nmExt(x, A(y)), where A is an arbitrary function with A(y) Γëá y. We show that an extractor introduced by Chor and Goldreich is non-malleable when the entropy rate is above half. It outputs a linear number of bits when the entropy rate is 1/2 + ╬▒, for any ╬▒ >; 0. Previously, no nontrivial parameters were known for any non-malleable extractor. To achieve a polynomial running time when outputting many bits, we rely on a widely-believed conjecture about the distribution of prime numbers in arithmetic progressions. Our analysis involves a character sum estimate, which may be of independent interest. Using our non-malleable extractor, we obtain protocols for "privacy amplification": key agreement between two parties who share a weakly-random secret. Our protocols work in the presence of an active adversary with unlimited computational power, and have asymptotically optimal entropy loss. When the secret has entropy rate greater than 1/2, the protocol fol- lows from a result of Dodis and Wichs, and takes two rounds. When the secret has entropy rate ╬┤ for any constant ╬┤ >; 0, our new protocol takes a constant (polynomial in 1/╬┤) number of rounds. Our protocols run in polynomial time under the above well-known conjecture about primes.
Testing and Reconstruction of Lipschitz Functions with Applications to Data Privacy	A function f:D ΓåÆ R has Lipschitz constant c if d<sub>R</sub>(f(x), f(y)) Γëñ c┬╖d<sub>D</sub>(x, y) for all x, y in D, where d<sub>R</sub> and d<sub>D</sub> denote the distance functions on the range and domain of f, respectively. We say a function is Lipschitz if it has Lipschitz constant 1. (Note that rescaling by a factor of 1/c converts a function with a Lipschitz constant c into a Lipschitz function.) In other words, Lipschitz functions are not very sensitive to small changes in the input. We initiate the study of testing and local reconstruction of the Lipschitz property of functions. A property tester has to distinguish functions with the property (in this case, Lipschitz) from functions that are ╧╡-far from having the property, that is, differ from every function with the property on at least an ╧╡ fraction of the domain. A local filter reconstructs an arbitrary function f to ensure that the reconstructed function g has the desired property (in this case, is Lipschitz), changing f only when necessary. A local filter is given a function f and a query x and, after looking up the value of f on a small number of points, it has to output g(x) for some function g, which has the desired property and does not depend on x. If f has the property, g must be equal to f. We consider functions over domains of the form {1, Γï», n}<sup>d</sup> equipped with Γäô<sub>1</sub> distance. We design efficient testers of the Lipschitz property for functions of the form f:{1, 2}<sup>d</sup> ΓåÆ ╬┤Z, where ╬┤ Γêê (0, 1] and ╬┤Z is the set of integer multiples of ╬┤, and of the form f:{1, Γï», n}<sup>d</sup> ΓåÆ R, where R is (discretely) metrically convex. We also present an efficient local filter of the Lipschitz property for functions of the form f:{1, Γï», n}<sup>d</sup> ΓåÆ R. We give corresponding lower bounds on the complexity of testing and local reconstruction. The - lgorithms we design have applications to program analysis and data privacy. The application to privacy is based on the fact that a function f of entries in a database of sensitive information can be released with noise of magnitude proportional to a Lipschitz constant of f, while preserving the privacy of individuals whose data is stored in the database (Dwork, McSherry, Nissim and Smith, TCC 2006). We give a differentially private mechanism, based on local filters, for releasing a function f when a purported Lipschitz constant of f is provided by a distrusted client. We show that when no reliable Lipschitz constant of f is given, previously known differentially private mechanisms have either a substantially higher running time or a higher expected error, for a large class of symmetric functions f.
The Privacy of the Analyst and the Power of the State	We initiate the study of "privacy for the analyst" in differentially private data analysis. That is, not only will we be concerned with ensuring differential privacy for the data (i.e. individuals or customers), which are the usual concern of differential privacy, but we also consider (differential) privacy for the set of queries posed by each data analyst. The goal is to achieve privacy with respect to other analysts, or users of the system. This problem arises only in the context of stateful privacy mechanisms, in which the responses to queries depend on other queries posed (a recent wave of results in the area utilized cleverly coordinated noise and state in order to allow answering privately hugely many queries). We argue that the problem is real by proving an exponential gap between the number of queries that can be answered (with non-trivial error) by stateless and stateful differentially private mechanisms. We then give a stateful algorithm for differentially private data analysis that also ensures differential privacy for the analyst and can answer exponentially many queries.
The Johnson-Lindenstrauss Transform Itself Preserves Differential Privacy	This paper proves that an "old dog", namely - the classical Johnson-Lindenstrauss transform, "performs new tricks" - it gives a novel way of preserving differential privacy. We show that if we take two databases, D and D', such that (i) D'-D is a rank-1 matrix of bounded norm and (ii) all singular values of D and D' are sufficiently large, then multiplying either D or D' with a vector of iid normal Gaussians yields two statistically close distributions in the sense of differential privacy. Furthermore, a small, deterministic and public alteration of the input is enough to assert that all singular values of D are large. We apply the Johnson-Lindenstrauss transform to the task of approximating cut-queries: the number of edges crossing a (S, S)-cut in a graph. We show that the JL transform allows us to publish a sanitized graph that preserves edge differential privacy (where two graphs are neighbors if they differ on a single edge) while adding only O(|S|╧╡) random noise to any given query (w.h.p). Comparing the additive noise of our algorithm to existing algorithms for answering cut-queries in a differentially private manner, we outperform all others on small cuts (|S| = o(n)). We also apply our technique to the task of estimating the variance of a given matrix in any given direction. The JL transform allows us to publish a sanitized covariance matrix that preserves differential privacy w.r.t bounded changes (each row in the matrix can change by at most a norm-1 vector) while adding random noise of magnitude independent of the size of the matrix (w.h.p). In contrast, existing algorithms introduce an error which depends on the matrix dimensions.
Non-malleable Extractors, Two-Source Extractors and Privacy Amplification	In [1], Dodis and Wichs introduced the notion of a non-malleable extractor. A non-malleable extractor is a much stronger version of a seeded extractor. Dodis and Wichs showed that such an object can be used to give optimal privacy amplification protocols with an active adversary. Previously, there are only two known constructions of nonmalleable extractors [2], [3]. Both constructions only work for (n, k)-sources with k >; n/2. Interestingly, both constructions are also two-source extractors. In this paper, we present a strong connection between nonmalleable extractors and two-source extractors. The first part of the connection shows that non-malleable extractors can be used to construct two-source extractors. This partially explains why previous constructions of non-malleable extractors only work for entropy rate >; 1/2, and why explicit non-malleable extractors for small min-entropy may be hard to get. The second part of the connection shows that certain two-source extractors can be used to construct non-malleable extractors. Using this connection, we obtain the first construction of non-malleable extractors for k <; n/2. Finally, despite the lack of explicit non-malleable extractors for arbitrarily linear entropy, we give the first 2-round privacy amplification protocol with asymptotically optimal entropy loss and communication complexity for (n, k) sources with k = ╬▒n for any constant ╬▒ >; 0. This dramatically improves previous results and answers an open problem in [2].
Privacy and communication complexity	Each of two parties <e1>P</e1><sub>1</sub> and <e1>P</e1><sub>2 </sub> holds an <e1>n</e1>-bit input, <e1>x</e1> and <e1>y</e1>, respectively. They wish to compute privately the value of <e1>f</e1>(<e1>x</e1>,<e1>y</e1>). Two questions are considered: (1) Which functions can be privately computed? (2) What is the communication complexity of protocols that privately compute a function <e1>f</e1> (in the case in which such protocols exist)? A complete combinatorial characterization of privately computable functions is given. This characterization is used to derive tight bounds on the rounds complexity of any privately computable function and to design optimal private protocols that compute these functions. It is shown that for every 1&les;<e1>g</e1>(<e1>n</e1>)&les;2├ù2<sup>n</sup> there are functions that can be privately computed with <e1>g</e1>(<e1>n</e1>) rounds of communication, but not with <e1>g</e1>(<e1>n</e1>)-1 rounds of communication
Eavesdropping games: a graph-theoretic approach to privacy in distributed systems	We initiate a graph-theoretic approach to study the (information-theoretic) maintenance of privacy in distributed environments in the presence of a bounded number of mobile eavesdroppers (ΓÇ£bugsΓÇ¥). For two fundamental privacy problems-secure message transmission and distributed database maintenance-we assume an adversary is ΓÇ£playing eavesdropping games,ΓÇ¥ coordinating the movement of the bugs among the sites to learn the current memory contents. We consider various mobility settings (adversaries), motivated by the capabilities (strength) of the bugging technologies (e.g., how fast can a bug be reassigned). We combinatorially characterize and compare privacy maintenance problems, determine their feasibility (under numerous bug models), suggest protocols for the feasible cases, and analyze their computational complexity
Privacy and interaction in quantum communication complexity and a theorem about the relative entropy of quantum states	We prove a fundamental theorem about the relative entropy of quantum states, which roughly states that if the relative entropy, S(╧ü||╧â)╬ö=Tr ╧ü(log ╧ü-log ╧â), of two quantum states ╧ü and ╧â is at most c, then ╧ü/2<sup>O(c)</sup> 'sits inside' ╧â. Using this 'substate' theorem, we give tight lower bounds for the privacy loss of bounded error quantum communication protocols for the index function problem. We also use the 'substate' theorem to give tight lower bounds for the k-round bounded error quantum communication complexity of the pointer chasing problem, when the wrong player starts, and all the log n bits of the kth pointer are desired.
Mechanism Design via Differential Privacy	We study the role that privacy-preserving algorithms, which prevent the leakage of specific information about participants, can play in the design of mechanisms for strategic agents, which must encourage players to honestly report information. Specifically, we show that the recent notion of differential privacv, in addition to its own intrinsic virtue, can ensure that participants have limited effect on the outcome of the mechanism, and as a consequence have limited incentive to lie. More precisely, mechanisms with differential privacy are approximate dominant strategy under arbitrary player utility functions, are automatically resilient to coalitions, and easily allow repeatability. We study several special cases of the unlimited supply auction problem, providing new results for digital goods auctions, attribute auctions, and auctions with arbitrary structural constraints on the prices. As an important prelude to developing a privacy-preserving auction mechanism, we introduce and study a generalization of previous privacy work that accommodates the high sensitivity of the auction setting, where a single participant may dramatically alter the optimal fixed price, and a slight change in the offered price may take the revenue from optimal to zero.
Protecting privacy using the decentralized label model	<div style="font-variant: small-caps; font-size: .9em;">First Page of the Article</div><img class="img-abs-container" style="width: 95%; border: 1px solid #808080;" src="/xploreAssets/images/absImages/01264929.png" border="0">
A Practical Three-Dimensional Privacy-Preserving Approximate Convex Hulls Protocol	Convex hulls problem is a special case of privacy-preserving geometry problem in the inquiry of secure multi-party computation. In the past, only in two-dimensional space privacy-preserving convex hulls have been investigated, and there is little focus in the three-dimensional space. However, three-dimensional privacy-preserving convex hulls can be applied in many fields, such as researching and exploration of the space, military, corporately finding the union range based on sensitive data from two parties. Approximate convex hulls have more advantages than conventional convex hulls in the theme of secure multi-party computation because it can hide the private points on the vertices. In this paper, we first present a practical privacy-preserving protocol to solve the three dimensional approximate convex hulls problem; we also discuss the correctness, security, and performance of our protocol.
Privacy-Preserving Practical Convex Hulls Protocol	Secure multi-party computation has been a hot research topic of cryptograhy for about two decades, and the convex hulls problem is a special case of it. However, the precise convex hulls will certainly expose all vertexes and even bring about unfairness. Therefore the practical approximate convex hulls are in need. In this paper, we summarize and discuss the convex hulls problem, and then we present a more effective new protocol to compute the approximate convex hulls. Furthermore, we analyze the security, communication complexity and efficiency of the protocol, and compare the new scheme with other privacy-preserving convex hulls protocols through simulated experiments. It shows that our privacy-preserving approximate convex hulls protocol is more effective than the previous privacy-preserving ones, and the new protocol is practical enough in many situations. Perfectly keeping privacy preserving and eliminating unfairness are the great advantages of our scheme.
Information Assurance, Privacy, and Security in Ubiquitous Questionnaire	Ubiquitous questionnaire is to provide users with e-questionnaire services anytime and anywhere such that one can use e-questionnaire servers without even thinking about them. An e-questionnaire server for ubiquitous questionnaire should provide guarantees to satisfy any user-specified requirement on information assurance, privacy, and security because some questionnaires may concern organization secrets as well as personal privacy, and some questionnaires such as e-voting or e-testing must impose restrictions on and provide assurance to respondents, voters, and/or testees. Until now, there is no detail requirement analysis for information assurance, privacy, and security in ubiquitous questionnaire. To implement an e-questionnaire server for ubiquitous questionnaire, this paper presents a requirement analysis for information assurance, privacy, and security in ubiquitous questionnaire. The paper identifies all participants and their information assets in ubiquitous questionnaire with a general purpose e-questionnaire server that can be used not only an e-questionnaire server but also an e-voting server and an e-testing server, gives a threat analysis of and a requirement analysis for information assurance, privacy, and security, and investigates technical issues for implementing facilities satisfied the requirements.
The Internet: privacy, censorship, the first amendment, and transnational communications; what's at stake?	This paper examines some of the problems under debate concerning the Internet. Included in the discussion are concerns over privacy issues, obscenity, pornography, and child pornography, the protection of minors from undesirable material on the Internet, and who has ultimate responsibility for the content and regulation of the Internet. Legal issues are examined along with a brief discussion on current regulatory laws. Alternatives to broad regulatory laws are examined with respect to communication and social concerns
Work in Progress: Exploring Security and Privacy Concepts through the Development and Testing of the iTrust Medical Records System	University computer science and software engineering students must build reliability and security into their software applications from the start of development. A graduate-level Software Testing and Reliability course at North Carolina State University has a learning objective of using appropriate testing techniques for the development of a reliable and secure system. Beginning in Fall 2005, the semester project has involved the development and testing of the open source and freely-available iTrust Medical Records system prototype. Our vision is to build a community of educators, students, and medical professionals that can collaborate and use the iTrust project as a development platform and testbed for secure and reliable application development
Panel Session - Learning Modules for Security, Privacy and Information Assurance In Undergraduate Engineering Education	Computer trustworthiness continues to increase in importance as a pressing scientific, economic, and social problem. In today's environment, there is heightened awareness of the threat of well-funded professional cyber hackers and the potential for nation-state sponsored cyber warfare. An accelerating trend of the last decade has been the growing integration role of computing and communication in critical infrastructure systems that now have complex interdependencies rooted in information technologies. These overlapping and interacting trends force us to recognize that trustworthiness of our computer systems is not an IT issue any more; it has a direct and immediate impact on our critical infrastructure. Security is often a collective enterprise, with complicated interdependencies and composition issues among a variety of participants. This poses a challenge for traditional engineering education models and curricula. The panel will discuss experiences and strategies to establish curricular foundation elements providing CSET graduates with an understanding of the interaction between cyber security, critical infrastructure systems and public policy
An elective course in biometrics and privacy	In the aftermath of 9-11, the area of biometrics has taken on increased importance. There is a need for more graduates who are familiar with the principles of biometric technology, and with the social and ethical issues raised by use of this technology. This paper describes a course that covers the fundamentals of the major biometric technologies, as well as privacy and security concerns. Experience from teaching a first section of this course is discussed. Modules from this course could also be used in a more general social impact of computing course, or could be used in a pattern recognition or artificial intelligence course to introduce social and ethical issues.
A privacy data set release method for balancing privacy protection and usability	The current release control methods consider the balance between privacy protection and usability for individual privacy data, but that balance for a released data set is not considered. In this paper, a release method based on game theory is proposed to ensure both the protection and the usability of privacy for a released data set.
Wired Equivalent Privacy (WEP)	There are some demonstrable reasons for customers who like use from wireless technology and this is clear because there are various benefits for using wireless technology. The contrast between wireless usage and security techniques growing, show that the security is not adequate enough for this data growing. Itpsilas obvious that the hackers are able to monitor the transmitted data and hack whatever they want. So we see that these days Companies are investing more money on securing their wireless networks. There are three major type of security in wireless. In this paper, at first we try to completely explain the structure of WEP as a first wireless security technique and discuss about all versions of it. At the second step, we discuss about all problems of WEP and finally explain the solutions and improvements that done on this security technique. Then we are in the next plan which is to explain the structure of two other techniques (WPA, WPA2) and we hope that we will publish a completely comparison among wireless techniques in the near future.
UPM: User-Centered Privacy Model in Pervasive Computing Systems	The fact that pervasive systems are typically embedded or invisible, making it difficult for users to know when these devices are collecting data. So privacy appears as a major issue for pervasive computing applications. In this paper we propose a user-centered privacy model (UPM) which provides user control over data, identity, location, and time privacy with less than 10% of unobtrusiveness.
Privacy Management in a Mobile Setting	This paper is concerned with privacy management in mobile settings. We are also going to be looking at the type of applications that are starting to spin off from the Internet onto mobile phones, such as Messenger, Facebook and Twitter. Publication of the whereabouts and activities of the user is at the core of these systems. Many commentators worry about users forgetting that the social network may compromise their privacy, in the sense that information that is published may range farther and wider than the intentions. Withdrawal of personal information that is disseminated is hardly possible. This paper looks at various model of privacy, and examines some ideas related to trust and confidence from the literature.
A Dynamic Network Access Identifier Used for Location Privacy	Current wireless access authentication mechanisms are mostly based on the network access identifier. It may lead to the location privacy problem. This paper brings out the concept of dynamically generated network access identifier, and gives an example of authentication using the dynamically generated network access identifier. Also this paper proves the security of the authentication procedure using the BAN logic and analyzes the performance of the authentication mechanism based on DNAI.
A generic location-based mobile application framework supporting privacy-preserving end-user tailorability	Location is the fey factor in defining context information of today's mobile applications and services. As a matter of fact, location is increasingly used to stimulate collaboration in various ways and location-aware applications experienced a wide-spread usage. However, existing mobile services, even those which are Web enabled, do not support end-user tailorability. For example, at the level of defining community-specific points of interest of any type on both user interface (UI) and server-side level. In this paper, we identify the need for supporting such end-user tailorability based on performed analysis of various use cases related to collaborative location-based scenarios in mobile settings. We present a generic framework for collaborative mobile applications and services that support privacy respecting location-based scenarios. We demonstrate this with the means of an iOS based prototype. Our prototype allows different communities to define their own points of interests in a generic manner (at-runtime) by simultaneously supporting group collaboration functionality (e.g., communication, awareness, etc.). The distributed architecture can also be tailored according to privacy needs.
Enhancing privacy in collaborative scenarios utilising a flexible proxy layer	In this paper we present our approach for a flexible proxy layer, allowing the parallel use of anonymous and direct network communication depending on specific scenarios or user preferences. The requirements are derived from scenarios from the european research project di. me, targeting to support end users in keeping control of their personal data and digital footprints. In the targeted scenarios, the use of anonymous network communication is an essential prerequisite for certain use cases (e.g. like pseudonymous communication), because of the special architecture, where each user has its own server holding his private data. Especially, the presented approach solves linkability which could arise when using SSL certificates/x.509 certificates and addresses various potential attacks. A detailed specification is given and important implementation details are addressed.
The Influence of Perceived Privacy upon the Trust in E-commerce	Perceived privacy is an important variable to influence customerpsilas trust and loyalty in e-commerce. It is crucial to fully understand consumerspsila perceived privacy in online shopping for understanding consumerspsila online behavior and encouraging them and potential consumers to adopt e-commerce. Through literature analysis, this paper explores consumer perceived privacy in online shopping and consumer behavior.
Research on the Personalized Privacy Preserving Distributed Data Mining	In this paper we studied privacy preserving distributed data mining. The existing methods focus on a universal approach that exerts preservation in the same degree for all persons, without catering for their concrete needs. In view of this we innovatively proposed a new framework combining the secure multiparty computation (SMC) with K-anonymity technology, and achieved personalized privacy preserving distributed data mining based on decision tree classification algorithm. Compared with other algorithms our method could make a good trade-off point between privacy and accuracy, with high efficiency and low-overhead of computing and communication.
Cross layer privacy support for identity management	One of the most important objectives of Identity Management (IdM) Systems is to provide end user privacy. However, these concepts rarely extend beyond the application layer. In the IST SWIFT project a special attention is given to cross-layer Identity Management support, and in this paper we show why applying only IdM solutions is insufficient to preserve user privacy if network mechanisms are not considered. We present a solution to retain user privacy by using network pseudonyms closely coordinated with the IdM framework proposed by the SWIFT project. We include these concepts in the IdM framework and present the necessary architecture and functional mechanisms required to support the privacy extensions.
